SVID Kennzeichen Wert Aufloesung Prioritaet Steuerung
 63. ANMELDUNG           AF   Per Fax                                 
291994. $OBJEKT             00003801dswh_zeugnis_diap_nc_wahl               
291995. $OBJEKT             00003802dswh_zeugnis_diap_p                     
291996. $OBJEKT             00003803dswh_zeugnis_diap_u                     
291997. $OBJEKT             00003804dswh_zeugnis_diap_u_fach                
291998. $OBJEKT             00003805dswh_zeugnis_diap_u2                    
291999. $OBJEKT             00003806dswh_zeugnis_diap_u2_umsetz             
292469. @PROGRAMM           00000334m_statistik_unterricht                  
291718. $OBJEKT             00003525dswh_zeug_sta_noten_rechts              
291720. $OBJEKT             00003527dswh_zeug_sta_schueler                  
291724. $OBJEKT             00003531dswh_zeugnis_a3d                        
291726. $OBJEKT             00003533dswh_zeugnis_a3ge                       
289827. @BEREICH            00000052d_fk_exkursion_sucheinstieg             
289828. @BEREICH            00000053d_kurs_std_sucheinstieg_dom             
289829. @BEREICH            00000054d_bericht_zertifikat_sucheinstieg          
289830. BR-VAR              <nz-anrede-zhd>Ansprechpartner/z.Hd. mit Anrede (nur Betrieb) in neuer Zeile, wenn Feld gefüllt          
289831. SCHUELER-BOGEN      D_SCHUELER_KOMP_ANNASchülerbogen (Hessen)                   
289832. SCHUELER-BOGEN      D_SCHUELER_KOMP_TSBSchülerbogen kompakt (ohne Eltern)          
289833. SCHUELER-BOGEN      D_SCHUELER_KOMP_FSSSchülerbogen (2 Adr., Ausb.- und Prakt.-Betrieb)          
289837. INTERN              PU744betrieb_telefon                         
289835. FAKTU-VAR           <faellig_datum>Fälligkeitsdatum (i.F. dd.mm.yyyy)          
292690. SONLINE             PU041VerletzungAllgSchulpflicht    I         
292692. SONLINE             PU043BkBildungsgang                          
292694. SONLINE             PU044-2AusbildungsBeginn                       
292696. SONLINE             PU046AbschlussSchluessel                     
292703. SONLINE             PU049BkKammer                      I         
290213. NOK-ART             A12HJHalbjahreszeugnis                       
290214. NOK-ART             A13HJHalbjahreszeugnis                       
290224. VORNAMEN            Jeremy-TonyM                                       
291125. VORNAMEN            Alec M                                       
291439. VORNAMEN            Vasile-DumitruM                                       
290225. $VORGANG            35   2019-01-25 08:59: Versäumnisanzeige  (PDF)/pu_id     
291711. $OBJEKT             00003518dswh_zeug_sek1_a3gr_fuss                
291713. $OBJEKT             00003520dswh_zeug_sta_bemerkung                 
291715. $OBJEKT             00003522dswh_zeug_sta_kopf                      
291717. $OBJEKT             00003524dswh_zeug10_dia18                       
291719. $OBJEKT             00003526dswh_zeug_sta_notenblock                
291721. $OBJEKT             00003528dswh_zeug_sta_noten_mitte               
291723. $OBJEKT             00003530dswh_zeugnis_a3                         
291725. $OBJEKT             00003532dswh_zeugnis_a3g                        
291727. $OBJEKT             00003534dswh_zeugnis_a3gr                       
291729. $OBJEKT             00003536dswh_zeugnis_a3u                        
291747. $OBJEKT             00003554dswh_zeugnis_g                          
292000. $OBJEKT             00003807dswh_zeugnis_diap_v_abitur              
292001. $OBJEKT             00003808dswh_zeugnis_diap_v_fremdsprachen          
292002. $OBJEKT             00003809dswh_zeugnis_diap_v_quali               
292003. $OBJEKT             00003810dswh_zeugnis_diap_v_quali_fach          
292004. $OBJEKT             00003811dswh_zeugnis_diap_v_quali_ueb           
292005. $OBJEKT             00003812dswh_zeugnis_go_b11g                    
292006. $OBJEKT             00003813dswh_zeugnis_go_b13g                    
292007. $OBJEKT             00003814dswh_zeugnis_go_b13g_sav                
292008. $OBJEKT             00003815dswh_zeugnis_go_b14g                    
292009. $OBJEKT             00003816dswh_zeugnis_go_bw09                    
292010. $OBJEKT             00003817dswh_zeugnis_go_bw09_bll                
292023. $OBJEKT             00003830dswh_zeugnis_go3z_kopfnoten             
288984. VORNAMEN            Julia-EmilyM                                       
290218. VORNAMEN            Harn M                                       
291432. VORNAMEN            Florian MartinM                                       
288985. VORNAMEN            Noah-GabrielM                                       
288986. VORNAMEN            GevorgM                                       
291423. FACHKLASSENSCHL     D0211200Allgemeine Hochschulreife / Fremdsprachenkorrespondent/-in (Betriebswirtschaftslehre, Sprachen)D02       
288987. VORNAMEN            KalidM                                       
290216. VORNAMEN            SekafM                                       
291352. VORNAMEN            JasperM                                       
291354. VORNAMEN            Henk M                                       
288988. VORNAMEN            Marcel JoahnnM                                       
288989. VORNAMEN            AslanbekM                                       
288990. VORNAMEN            MamunM                                       
288991. VORNAMEN            Aaron JuliusM                                       
288992. VORNAMEN            Raymond EhisM                                       
288993. VORNAMEN            Taam M                                       
288994. VORNAMEN            Samuel PeterM                                       
288995. GESUNDH-EINSCHRAENK GT   Gehirntumor                             
288996. PUIN-BEM-2          SJ 18/19SJ 18/19                                
288997. VORNAMEN            Dillon-PiereM                                       
288998. VORNAMEN            Lean M                                       
288999. VORNAMEN            Simon AndreasM                                       
289000. VORNAMEN            RankoM                                       
289001. VORNAMEN            Joelle-MaxiW                                       
291351. VORNAMEN            Marian-SanduM                                       
291353. VORNAMEN            Muhammed BünyaminM                                       
289002. VORNAMEN            NawasM                                       
289003. VORNAMEN            BaranM                                       
289004. VORNAMEN            Liam EtienneM                                       
289005. PS-SCHULE           980007Schule in Rheinland-Pfalz               
289010. STAAT               287  Ägypten                                 
289012. PS-SCHULE           980012Schule in Brandenburg                   
289013. PS-SCHULE           980006Schule in Hessen                        
289014. PS-SCHULE           980013Schule in Mecklenburg-Vorpommern          
289015. PS-SCHULE           980014Schule in Sachsen                       
289016. PS-SCHULE           980016Schule in Thüringen                     
289017. VORNAMEN            IbrahimeM                                       
289018. FACHKLASSENSCHL     A1350000Förderzentrum für Flüchtlinge A13       
289022. FACHKLASSENSCHL     A0161101Zweiradmechatroniker/-in - FahrradtechnikA01       
289023. FACHKLASSENSCHL     A0117707Elektroniker für Maschinen- und AntriebstechnikA01       
289024. STAAT               361  Peru                                    
289025. GESUNDH-EINSCHRAENK AU   Autist                                  
291406. VORNAMEN            Duke M                                       
289026. VORNAMEN            Maria-KatharinaW                                       
289165. LISTEN              dswh_pu_kl_ma_ausAustrittsgrund (Matrix, klassenweise)auswahl   
289167. LISTEN              dswh_pu_jg_le_absch2Abschluss (höchster) an le. Schule (Matrix)auswahl   
289169. LISTEN              dswh_pu_notenblfkealNotenübersicht (alle Zeugnissätze der Laufbahn)auswahl   
289171. LISTEN              dswh_go_prf_mdl_s2Niederschrift Mdl. Prüfung (2-seitig)          
289173. LISTEN              dswh_pu_noten_lochNoten-Lochliste (Klasse) 32 Fächerauswahl   
289175. LISTEN              dswh_pu_noten_loch03Noten-Lochliste nach Fachlehrern gruppiertauswahl   
289027. VORNAMEN            Jonas MaximilianM                                       
290219. VORNAMEN            YarikaW                                       
289028. NOK-ART             A01JZ neJahreszeugnis                           
289029. NOK-ART             A01neu                                        
289030. VORNAMEN            Abdull AhadM                                       
289031. VORNAMEN            HayatiM                                       
289032. VORNAMEN            Mika JohannesM                                       
289136. LISTEN              dswh_pu_austritt_bemEin-/Austrittsliste (Austrittsgrund + -Bem.)auswahl   
289138. LISTEN              dswh_pu_alle_emailklAdressliste (alle Adr., E-Mails, klassenw.)auswahl   
289140. LISTEN              dswh_pu_prakt_betr05Schüler mit allen Prakt.-Betrieben u. Anforderungenauswahl   
289142. LISTEN              dswh_pu_prakt_kl_expSchüler mit Betriebeadr. (Prakt., Export)auswahl   
289144. LISTEN              dswh_pu_alle_emailalAdressliste (alle Adr., E-Mails, alphabet.)auswahl   
289146. LISTEN              dswh_pu_schulgeldListe mit Erziehungsberechtigtenauswahl   
289150. LISTEN              dswh_pu_abw_mit_bemAbwesenheit (nur Sätze mit Bemerkung)auswahl   
289034. VORNAMEN            HayranM                                       
289177. LISTEN              dswh_zeugnis_nopk3Zeugnis (einseitig) Punkte u. Note          
289035. VORNAMEN            Mohamed YausefM                                       
290227. VORNAMEN            Saleh MohamedM                                       
289036. VORNAMEN            SeeratW                                       
289037. VORNAMEN            LeylaW                                       
289038. VORNAMEN            Besaran OthmanM                                       
289039. VORNAMEN            Seerat Ul AroojW                                       
289182. ZE-KENNTNIS         MJ-2 __________________________________________          
289184. ZE-KENNTNIS         VJ-2                                         
289186. ZE-VAR              <beruf-klasse-dativ>Klassen-Berufsbezeichnung (Dativ-Form) (m/w)          
289188. ZE-VAR              <err-klaziel_u>Erreichen Klassenziel aus Noten-Kopf (Aufl2>Aufl) (unicode)          
289190. ZE-VAR              <prakt_betrieb_jg>Praktikumsbetrieb zu JG                 
289192. ZE-VAR              <arbeitsgem_entw_z>Arbeitsgemeinschaften - entwertet, wenn leer (Texte mit Komma getrennt) (mit Zeilenvorschub)          
289194. ZE-VAR              <sj_halbjahr>Schuljahr Halbjahresdatum (i.d. Form dd.mm.yyyy)          
289196. ZE-VAR              <rel_abmeld>Abmeldung Rel.Unterricht (i.d. Form dd.mm.yyyy)          
289198. ZE-VAR              <kenntnis1-vj>Text 1 für Kenntnisnahme in Abh. der Volljährigkeit (sv: ZE-KENNTNIS)          
289202. PUNKTE-IN-NOTE      05,3 3,9                                     
289204. PUNKTE-IN-NOTE      05,9 3,7                                     
289206. PUNKTE-IN-NOTE      06,5 3,5                                     
289208. PUNKTE-IN-NOTE      07,1 3,3                                     
289210. PUNKTE-IN-NOTE      07,7 3,1                                     
289212. PUNKTE-IN-NOTE      08,3 2,9                                     
289214. PUNKTE-IN-NOTE      08,9 2,7                                     
289216. PUNKTE-IN-NOTE      09,5 2,5                                     
289218. PUNKTE-IN-NOTE      10,1 2,3                                     
289220. PUNKTE-IN-NOTE      10,7 2,1                                     
289222. PUNKTE-IN-NOTE      11,3 1,9                                     
289224. PUNKTE-IN-NOTE      11,9 1,7                                     
289226. PUNKTE-IN-NOTE      12,5 1,5                                     
289228. PUNKTE-IN-NOTE      13,1 1,3                                     
289230. PUNKTE-IN-NOTE      13,7 1,1                                     
289040. VORNAMEN            ShinwariM                                       
289166. LISTEN              dswh_pu_kl_ma_aus2Austrittsgrund (intern) (Matrix, klassenweise)auswahl   
289168. LISTEN              dswh_pu_jg_le_abschlAbschluss an le. Schule (Matrix)auswahl   
289170. LISTEN              dswh_go_prf_mdlNiederschrift Mdl. Prüfung              
289172. LISTEN              dswh_pu_no_pruef_ajPrüfungs-Notenliste (mit Noten)auswahl   
289174. LISTEN              dswh_pu_noten_loch02Noten-Lochliste mit Fachlehrern (klassenweise)auswahl   
289041. VORNAMEN            Joshua-ZenM                                       
290220. VORNAMEN            DarlynW                                       
289042. VORNAMEN            SherwanM                                       
290212. VORNAMEN            Thea W                                       
291344. VORNAMEN            Simon SebastianM                                       
289043. FB-ORT              KH   Kreis Borken - Kreishaus -              
290215. VORNAMEN            AymanM                                       
289094. DOUBLE-OPT-IN-TYP        <leer>                                  
289096. DOUBLE-OPT-IN-TYP   KOST Kostenbestätigung                       
